# B27R090 (Hi-B) - TD
# H (A/m), B (T)
# Source: Nippon Steel/JFE GO electrical steel catalog (digitized)
0.000000,0.000000
0.100000,0.000101
0.111871,0.000114
0.125151,0.000127
0.140008,0.000143
0.156629,0.000160
0.175222,0.000180
0.196023,0.000202
0.219293,0.000226
0.245326,0.000254
0.274449,0.000285
0.307029,0.000321
0.343477,0.000360
0.384251,0.000405
0.429866,0.000456
0.480896,0.000514
0.537984,0.000579
0.601848,0.000654
0.673295,0.000738
0.753222,0.000834
0.842638,0.000944
0.942668,0.001069
1.054574,0.001213
1.179763,0.001378
1.319814,0.001567
1.476491,0.001785
1.651767,0.002038
1.847850,0.002330
2.067210,0.002669
2.312611,0.003064
2.587143,0.003525
2.894266,0.004064
3.237848,0.004696
3.622216,0.005440
4.052213,0.006317
4.533256,0.007353
5.071404,0.008581
5.673436,0.010037
6.346936,0.011768
7.100388,0.013830
7.943282,0.016287
8.886238,0.019220
9.941133,0.022722
11.121256,0.026903
12.441473,0.031894
13.918414,0.037845
15.570684,0.044930
17.419097,0.053343
19.486937,0.063298
21.800253,0.075023
24.388185,0.088746
27.283334,0.104678
30.522168,0.123062
34.145489,0.148892
38.198937,0.184968
42.733575,0.229983
47.806525,0.280112
53.481691,0.329656
59.830561,0.381684
66.933113,0.438826
74.878817,0.504709
83.767764,0.586649
93.711928,0.691554
104.836574,0.787772
117.281840,0.873709
131.204496,0.956854
146.779927,1.039732
164.204334,1.117162
183.697212,1.189129
205.504110,1.255432
229.899730,1.316482
257.191381,1.374869
287.722854,1.432978
321.878751,1.472699
360.089333,1.503137
402.835935,1.531940
450.657034,1.562971
504.155028,1.591981
564.003828,1.617507
630.957344,1.639307
705.858987,1.658740
789.652287,1.677705
883.392781,1.698895
988.261314,1.718481
1105.578905,1.731189
1236.823397,1.741684
1383.648068,1.751559
1547.902458,1.763902
1731.655667,1.779503
1937.222423,1.795786
2167.192235,1.810351
2424.462017,1.825147
2712.272579,1.839309
3034.249451,1.851020
3394.448553,1.860860
3797.407287,1.870146
4248.201698,1.878741
4752.510411,1.886625
5316.686168,1.894127
5947.835852,1.902114
6653.910011,1.910493
7443.803013,1.918887
8327.465086,1.926648
9316.027658,1.932731
10421.943585,1.935849
11659.144012,1.938266
13043.213867,1.940844
14591.588183,1.943572
16323.771723,1.946435
18261.584683,1.949408
20429.437558,1.952453
22854.638641,1.955523
25567.738022,1.958553
28602.912425,1.961462
31998.395732,1.964147
35796.960610,1.966490
40046.457318,1.968349
44800.416471,1.969572
50118.723363,1.970000
